epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3335.26,0.44078,0.26496,0.82219,0.99759,0.99709,0.99498,0.88116,0.55521,0.27379,0.83955,0.000821206,0.000821206,0.000821206
43,3413.47,0.44161,0.26533,0.82205,0.99426,0.99377,0.99487,0.87702,0.56773,0.28297,0.84195,0.000800577,0.000800577,0.000800577
44,3491.4,0.43483,0.26012,0.8222,0.99649,0.9994,0.99491,0.88557,0.55352,0.27254,0.83588,0.000779948,0.000779948,0.000779948
45,3569.72,0.43468,0.25953,0.82005,0.98858,0.98774,0.99423,0.87989,0.55432,0.30429,0.84276,0.000759318,0.000759318,0.000759318
46,3647.95,0.43529,0.26093,0.82033,0.9938,0.99712,0.99476,0.88573,0.54061,0.27509,0.82881,0.000738689,0.000738689,0.000738689
47,3727.27,0.42875,0.2568,0.81881,0.99755,0.99884,0.99499,0.88524,0.54266,0.27452,0.83199,0.00071806,0.00071806,0.00071806
48,3804.96,0.42046,0.25092,0.82054,0.99652,0.99302,0.99491,0.88342,0.55308,0.27473,0.83562,0.000697431,0.000697431,0.000697431
49,3883.01,0.42225,0.2556,0.82116,0.99282,0.9848,0.99421,0.88116,0.54383,0.28938,0.83873,0.000676802,0.000676802,0.000676802
50,3961.3,0.42757,0.25421,0.81891,0.98849,0.99243,0.99466,0.88531,0.53693,0.27837,0.84178,0.000656173,0.000656173,0.000656173
51,4040.14,0.43304,0.25547,0.81907,0.98897,0.99243,0.99451,0.88512,0.53805,0.27933,0.83247,0.000635544,0.000635544,0.000635544
52,4117.74,0.41539,0.24805,0.81857,0.99374,0.99224,0.99475,0.8869,0.53571,0.27328,0.83786,0.000614915,0.000614915,0.000614915
53,4196.24,0.41109,0.24444,0.81826,0.9937,0.99687,0.99486,0.8907,0.52004,0.26766,0.82867,0.000594286,0.000594286,0.000594286
54,4274.31,0.41163,0.24461,0.8166,0.97593,0.97217,0.99249,0.88373,0.53298,0.31473,0.83836,0.000573656,0.000573656,0.000573656
55,4352.45,0.40876,0.24235,0.81396,0.99108,0.99651,0.99487,0.88813,0.54391,0.26507,0.83549,0.000553027,0.000553027,0.000553027
56,4430.88,0.40768,0.24136,0.81507,0.98504,0.98054,0.99361,0.88639,0.53201,0.28631,0.83737,0.000532398,0.000532398,0.000532398
57,4508.73,0.40829,0.24389,0.81636,0.99547,0.99561,0.99478,0.89586,0.52404,0.25771,0.82772,0.000511769,0.000511769,0.000511769
58,4587.76,0.40173,0.23936,0.815,0.98908,0.99069,0.9944,0.89016,0.52395,0.27648,0.83222,0.00049114,0.00049114,0.00049114
59,4666.94,0.40643,0.2406,0.81435,0.99387,0.99323,0.99466,0.8921,0.52256,0.25736,0.82617,0.000470511,0.000470511,0.000470511
60,4745.82,0.40261,0.23609,0.81244,0.99694,0.99534,0.99497,0.89614,0.51585,0.25195,0.82435,0.000449882,0.000449882,0.000449882
61,4825.52,0.39634,0.23475,0.81867,0.9966,0.99686,0.99496,0.88767,0.53969,0.25485,0.83102,0.000429253,0.000429253,0.000429253
62,4905.34,0.39765,0.23432,0.81286,0.99638,0.99825,0.99482,0.8913,0.52722,0.25427,0.82684,0.000408623,0.000408623,0.000408623
63,4983.12,0.3995,0.23635,0.81746,0.99502,0.99651,0.99493,0.8931,0.52277,0.2572,0.82497,0.000387994,0.000387994,0.000387994
64,5061.82,0.39594,0.23452,0.80902,0.99482,0.9936,0.99487,0.89085,0.53127,0.25981,0.82806,0.000367365,0.000367365,0.000367365
65,5140.36,0.38358,0.23076,0.81099,0.99731,0.9936,0.99491,0.89323,0.52105,0.26186,0.82681,0.000346736,0.000346736,0.000346736
66,5218.11,0.39289,0.23296,0.81245,0.99089,0.99382,0.99464,0.89193,0.52181,0.27149,0.83448,0.000326107,0.000326107,0.000326107
67,5297.5,0.38507,0.22669,0.81126,0.99346,0.99753,0.99486,0.89183,0.53211,0.24989,0.82683,0.000305478,0.000305478,0.000305478
68,5376.94,0.39015,0.22758,0.8124,0.99566,0.99593,0.99495,0.8971,0.51443,0.24802,0.82372,0.000284849,0.000284849,0.000284849
69,5454.55,0.37893,0.22143,0.81061,0.99385,0.99271,0.99487,0.89439,0.51319,0.25373,0.82281,0.00026422,0.00026422,0.00026422
70,5533.16,0.37916,0.22494,0.81201,0.9941,0.99836,0.99495,0.89326,0.51662,0.24997,0.82439,0.00024359,0.00024359,0.00024359
71,5613.95,0.35419,0.20647,0.77839,0.99482,0.99754,0.99494,0.89451,0.51451,0.25029,0.82715,0.000222961,0.000222961,0.000222961
72,5691.01,0.34656,0.20245,0.77939,0.9947,0.99252,0.99485,0.88556,0.53489,0.25726,0.83267,0.000202332,0.000202332,0.000202332
73,5767.91,0.34128,0.19983,0.77693,0.99259,0.99709,0.99488,0.89587,0.51897,0.25426,0.82741,0.000181703,0.000181703,0.000181703
74,5845.4,0.3369,0.19672,0.77771,0.99684,0.99651,0.99496,0.89305,0.52322,0.24794,0.82528,0.000161074,0.000161074,0.000161074
75,5922.48,0.34027,0.19528,0.77628,0.99781,0.99777,0.99497,0.89599,0.51251,0.24162,0.82312,0.000140445,0.000140445,0.000140445
76,5999.3,0.33565,0.19261,0.7795,0.99792,0.99824,0.99498,0.89775,0.50842,0.24065,0.82106,0.000119816,0.000119816,0.000119816
77,6076.39,0.33247,0.19032,0.77978,0.99783,0.99884,0.99499,0.89819,0.50863,0.238,0.82079,9.91865e-05,9.91865e-05,9.91865e-05
78,6153.07,0.33119,0.18992,0.77564,0.9976,0.99651,0.99495,0.89624,0.51087,0.24015,0.82049,7.85574e-05,7.85574e-05,7.85574e-05
79,6231.02,0.33197,0.19011,0.77867,0.99628,0.99709,0.99492,0.89688,0.51015,0.24208,0.8217,5.79283e-05,5.79283e-05,5.79283e-05
80,6307.33,0.33134,0.18782,0.77699,0.99656,0.99588,0.99492,0.89696,0.50897,0.24145,0.82075,3.72991e-05,3.72991e-05,3.72991e-05
